anime_id,Name,English name,Other name,Score,Genres,Aired,Status,Rating,Rank,Popularity,number_of_female_reviewers,number_of_male_reviewers
45220,Nami Xueyuan,UNKNOWN,纳米学院,UNKNOWN,Comedy,"Jul 6, 2018 to ?",Finished Airing,PG-13 - Teens 13 or older,18401.0,23515,0,0
45221,Piao Chong Bei Bei: Wu Long Mofa,UNKNOWN,瓢虫贝贝之乌龙魔法,UNKNOWN,Fantasy,"Jan 25, 2010 to ?",Finished Airing,PG - Children,18882.0,23858,0,0
45222,Piao Chong Bei Bei: Shenmi Gongchang,UNKNOWN,瓢虫贝贝之神秘工厂,UNKNOWN,Fantasy,Not available,Finished Airing,PG - Children,18881.0,24300,0,0
45223,Piao Chong Bei Bei: Zhengjiu Gu Shu Zhen,UNKNOWN,瓢虫贝贝之拯救古树镇,UNKNOWN,Fantasy,Not available,Finished Airing,PG - Children,18883.0,24301,0,0
45224,Xiaoxiong Ni Ao: Mengjing Xiao Zhen,UNKNOWN,小熊尼奥之梦境小镇,UNKNOWN,Fantasy,"Sep 26, 2016 to ?",Finished Airing,PG - Children,13757.0,24564,0,0
45225,Xiaoxiong Ni Ao: Huanqiu Luxing,UNKNOWN,小熊尼奥之环球旅行,UNKNOWN,Fantasy,"Apr 23, 2018 to ?",Finished Airing,PG - Children,13756.0,24451,0,0
45226,Chongchong Yu Long Long,UNKNOWN,冲冲与龙龙,UNKNOWN,UNKNOWN,2012 to ?,Finished Airing,PG - Children,15277.0,24075,0,0
45229,Hai Baolaile,UNKNOWN,海宝来了,UNKNOWN,UNKNOWN,"Apr 1, 2010 to ?",Finished Airing,PG - Children,16266.0,24250,0,0
45230,Hai Baolaile 2nd Season,UNKNOWN,海宝来了 第2部,UNKNOWN,UNKNOWN,2011 to ?,Finished Airing,PG - Children,16267.0,24475,0,0
45231,Hai Baolaile 3rd Season,UNKNOWN,海宝来了 第三部,UNKNOWN,UNKNOWN,Not available,Finished Airing,PG - Children,16268.0,24096,0,0
45232,Tan Tan Mao: Qihuan Maxi Tuan,UNKNOWN,探探猫之奇幻马戏团,UNKNOWN,Fantasy,Not available,Finished Airing,PG - Children,12797.0,24192,0,0
45233,Tan Tan Mao: Qihuan Maxi Tuan 2,UNKNOWN,探探猫之奇幻马戏团2,UNKNOWN,Fantasy,Not available,Finished Airing,PG - Children,12798.0,24193,0,0
45234,Tan Tan Mao: Qimiao Shijie,UNKNOWN,探探猫之奇妙世界,UNKNOWN,Fantasy,2019 to ?,Finished Airing,PG - Children,12799.0,24535,0,0
45235,Tan Tan Mao: Qimiao Shijie 2nd Season,UNKNOWN,探探猫奇妙世界 第二季,UNKNOWN,"Adventure, Fantasy",2020 to ?,Finished Airing,PG - Children,12800.0,24330,0,0
45236,Yin Mi,Spirit of Sound,音迷,UNKNOWN,UNKNOWN,2008 to ?,Finished Airing,G - All Ages,14053.0,24229,0,0
45237,Qianfang Gaoneng: Huaji,UNKNOWN,前方高能之滑稽,UNKNOWN,Comedy,"Jan 13, 2017 to Feb 10, 2017",Finished Airing,PG - Children,19057.0,22972,0,0
45238,Qianfang Gaoneng: La Ji,UNKNOWN,前方高能之辣稽,UNKNOWN,Comedy,"Jun 9, 2017 to Sep 22, 2017",Finished Airing,G - All Ages,19058.0,23327,0,0
45239,Qianfang Gaoneng: Shen Fan Gou,UNKNOWN,前方高能之神烦狗,UNKNOWN,Comedy,"Jun 7, 2016 to Nov 24, 2016",Finished Airing,G - All Ages,19059.0,22920,0,0
45240,Haha Hua Xiao Ji Specials,UNKNOWN,哈哈滑小稽,UNKNOWN,Comedy,"Dec 25, 2017 to Feb 22, 2019",Finished Airing,G - All Ages,16252.0,23072,0,0
45241,Er Er Er Ha Qi,UNKNOWN,二二二哈企,UNKNOWN,Comedy,"Apr 14, 2018 to May 12, 2018",Finished Airing,G - All Ages,15813.0,22427,0,0
45242,Haha Xiyou Xing,UNKNOWN,哈哈西游行,UNKNOWN,"Adventure, Fantasy",2005 to ?,Finished Airing,PG - Children,16263.0,24038,0,0
45243,Fuxing Ba Jie,UNKNOWN,福星八戒,UNKNOWN,"Adventure, Fantasy",Apr 2011 to ?,Finished Airing,PG - Children,15977.0,20673,1,0
45244,Fuxing Ba Jie: Da Nian Xiao Guai,UNKNOWN,福星八戒之大年小怪,UNKNOWN,"Adventure, Fantasy",2015,Finished Airing,PG - Children,15978.0,23613,0,0
45246,Kuaile Xing Mao,The Adventures of Star Cat,快乐星猫,UNKNOWN,"Adventure, Comedy, Fantasy, Sci-Fi",2008 to 2015,Finished Airing,PG - Children,17514.0,20631,0,0
45254,Xing Mao Lixian Ji: Xingkong Da Maoxian,UNKNOWN,星猫历险记之星空大冒险,UNKNOWN,UNKNOWN,Not available,Finished Airing,PG - Children,13823.0,23358,0,0
45255,Xing Mao Lixian Ji: Gucheng Da Maoxian,UNKNOWN,星猫历险记之古城大冒险,UNKNOWN,UNKNOWN,Not available,Finished Airing,PG - Children,13818.0,23356,0,0
45257,Xing Mao: Da Xiao Xiyou,UNKNOWN,星猫之大笑西游,UNKNOWN,UNKNOWN,Not available,Finished Airing,PG - Children,13832.0,23361,0,0
45258,Xing Mao Lixian Ji: Diqiu Da Maoxian,UNKNOWN,星猫历险记之地球大冒险,UNKNOWN,UNKNOWN,Not available,Finished Airing,PG - Children,13817.0,23223,0,0
